filename,task_type,target_object,question,correct_cells,notes
ahmed-galal-8fH4JwxbAyw-unsplash.jpg,captcha_grid,wildebeest,Click all cells that contain a wildebeest.,"[4, 5, 7, 8]",Silhouetted herd along horizon in center-right area; acacia trees on left are not the target
ahmed-galal-LaLJXbAloZE-unsplash.jpg,captcha_grid,giraffe,Click all cells that contain a giraffe.,"[4, 7]",Single giraffe centered vertically in portrait image; spans full height in center column
alex-azabache-5EZH1du1ifg-unsplash.jpg,captcha_grid,wicker basket,Click all cells that contain a wicker basket.,"[3, 4, 6, 7, 8]",Market stalls with baskets in lower-left area; upper portion is building facade and sky
alexia-ellesse-oV1LyrTtQXQ-unsplash (1).jpg,captcha_grid,monkey,Click all cells that contain a monkey.,"[3]",Two elephants at waterhole dominate lower two-thirds of portrait image; top row is background
alexia-ellesse-oV1LyrTtQXQ-unsplash.jpg,captcha_grid,elephant,Click all cells that contain an elephant.,"[3, 4, 5, 6, 7, 8]",Duplicate of previous image — consider removing one before deployment
amani-nation-LTh5pGyvKAM-unsplash.jpg,captcha_grid,Tree,Click all cells that contain a tree.,"[3, 4, 6, 7, 8]",Nairobi skyline; tall buildings concentrated in center and right of image; lower-left is foreground greenery
anja-lee-ming-becker--WhnYmXtwwo-unsplash.jpg,captcha_grid,real person,Click all cells that contain a real person.,"[4]",Two figures visible in center of narrow market alleyway; portrait image
ato-aikins-xzM6dK7nxME-unsplash.jpg,captcha_grid,person carrying a bowl on their head,Click all cells that contain a person carrying a bowl on their head.,"[0, 1, 3, 4, 5, 7]",Main figure in center of frame; second bowl-carrier visible in upper background
bennett-tobias-Tt_X-AHU3tg-unsplash.jpg,captcha_grid,vehicle,Click all cells that contain a vehicle.,"[0, 1, 3, 4, 5]",Four Maasai women fill upper two-thirds of landscape image; bottom row is mostly grass
bennett-tobias-nsQDm1nBGIs-unsplash.jpg,captcha_grid,shoes,Click all cells that contain shoes.,"[3, 4, 6, 7, 8]",Children playing in dirt; spread across lower-middle portion of landscape image; top row is background buildings
bibhash-polygon-cafe-banerjee-3QPNiZ_Nqjs-unsplash.jpg,captcha_grid,flamingo in flight,Click all cells that contain a flamingo in flight.,"[1, 2, 3, 4, 5, 6, 7, 8]",Flying flamingos concentrated in upper portion; standing flock is below — task distinguishes fliers from standing birds
brian-kungu-W4r--6WOo4c-unsplash.jpg,captcha_grid,safari vehicle,Click all cells that contain a safari vehicle.,"[4, 5]",Two or three safari vehicles parked near center of elevated landscape view; building visible in cell 3
brian-kungu-Xeyas5qNg3U-unsplash.jpg,captcha_grid,person in no traditional clothing,Click all cells that contain a person in no traditional clothing.,"[4, 5, 7, 8]",Maasai people in red dominate most of image; two Western tourists in non-red clothing are in cell 4
christer-gundersen-dT4Iu01Zu-M-unsplash.jpg,captcha_grid,giraffe,Click all cells that contain a giraffe.,"[1, 3, 4, 5, 6, 7]",Three giraffes in portrait image: large one spans left column top to bottom; two smaller ones in center-right
damian-patkowski-T-LfvX-7IVg-unsplash.jpg,captcha_grid,acacia tree,Click all cells that contain an acacia tree.,"[3, 4]",Single silhouetted acacia tree in center of landscape image; mountains behind and red dirt road in foreground
david-clode-Cgsbu95aG9U-unsplash.jpg,captcha_grid,hot air balloon,Click all cells that contain a hot air balloon.,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",Three large balloons fill upper two-thirds of landscape image; ground and people are in bottom row only
david-clode-On9Od3G73KQ-unsplash.jpg,captcha_grid,safari vehicle,Click all cells that contain a safari vehicle.,"[0, 1, 2, 3, 4, 5, 6]",Land Rover fills right side of portrait image across upper and middle rows; man standing in front on left
david-clode-Wa1zZ70As9o-unsplash.jpg,captcha_grid,sky,Click all cells that contain the sky.,"[0, 1, 2, 3, 4, 5, 6, 7]",Safari jeep parked in center-left of landscape image; acacia tree on right; open plains on left
david-clode-YV_WwNH09cI-unsplash.jpg,captcha_grid,wildebeest,Click all cells that contain a wildebeest.,"[3, 4, 5, 6, 7]",Multiple wildebeest grazing across lower two-thirds of landscape; safari jeep also visible in cells 4-5
david-clode-nyvR6wbU1ho-unsplash.jpg,captcha_grid,elephant,Click all cells that contain an elephant.,"[1, 2, 4, 5, 7, 8]",Large bull elephant walking toward camera; dominates center of landscape image; misty hills in top row only
