symbol_id,latex,category,group
1,\alpha,greek_lower,loop_greek
2,\epsilon,greek_lower,loop_greek
3,\rho,greek_lower,loop_greek
4,\sigma,greek_lower,loop_greek
5,\omega,greek_lower,loop_greek
6,\nu,greek_lower,loop_greek
7,\beta,greek_lower,complex_greek
8,\zeta,greek_lower,complex_greek
9,\eta,greek_lower,complex_greek
10,\theta,greek_lower,complex_greek
11,\phi,greek_lower,complex_greek
12,\psi,greek_lower,complex_greek
13,\Gamma,greek_upper,angular_caps
14,\Delta,greek_upper,angular_caps
15,\Lambda,greek_upper,angular_caps
16,\Xi,greek_upper,angular_caps
17,\Pi,greek_upper,angular_caps
18,\Sigma,greek_upper,angular_caps
19,\oplus,algebra,circle_ops
20,\otimes,algebra,circle_ops
21,\odot,algebra,circle_ops
22,\emptyset,set,circle_ops
23,\Theta,greek_upper,circle_ops
24,\Phi,greek_upper,circle_ops
25,\in,set,set_ops
26,\notin,set,set_ops
27,\subset,set,set_ops
28,\supset,set,set_ops
29,\cap,set,set_ops
30,\cup,set,set_ops
31,\forall,logic,logic_ops
32,\exists,logic,logic_ops
33,\neg,logic,logic_ops
34,\wedge,logic,logic_ops
35,\vee,logic,logic_ops
36,\partial,calculus,logic_ops
