"filename","question","targets","notes"
"ahmed-galal-LaLJXbAloZE-unsplash.jpg","Click on the giraffe head, then the sun, then the giraffe tail","[{""name"": ""giraffe head"", ""box"": [0.40, 0.34, 0.48, 0.40]}, {""name"": ""sun"", ""box"": [0.39, 0.42, 0.53, 0.52]}, {""name"": ""giraffe tail"", ""box"": [0.59, 0.62, 0.65, 0.68]}]","Verified"
"david-clode-Cgsbu95aG9U-unsplash.jpg","Click on the yellow lantern, then the wooden bench, then the yellow person.","[{""name"": ""yellow lantern"", ""box"": [0.91, 0.92, 0.93, 0.99]}, {""name"": ""wooden bench"", ""box"": [0.39, 0.79, 0.47, 0.90]}, {""name"": ""yellow person"", ""box"": [0.31, 0.71, 0.32, 0.75]}]","Verified"
"christer-gundersen-dT4Iu01Zu-M-unsplash.jpg","Click on the three giraffes from left to right","[{""name"": ""Giraffe 1"", ""box"": [0.27, 0.24, 0.62, 0.75]}, {""name"": ""Giraffe 2"", ""box"": [0.67, 0.44, 0.82, 0.63]}, {""name"": ""Giraffe 3"", ""box"": [0.75, 0.48, 0.90, 0.63]}]","Verified"
"david-clode-nyvR6wbU1ho-unsplash.jpg","Click on the elephant trunk, the left elephant eye, the right elephant tooth","[{""name"": ""elephant trunk"", ""box"": [0.59, 0.23, 0.66, 0.72]}, {""name"": ""left elephant eye"", ""box"": [0.56, 0.22, 0.58, 0.26]}, {""name"": ""right elephant tooth"", ""box"": [0.66, 0.38, 0.69, 0.47]}]","Verified"
"david-clode-Wa1zZ70As9o-unsplash.jpg","Click first on a human, then the car, then the tree.","[{""name"": ""human"", ""box"": [0.30, 0.72, 0.38, 0.87]}, {""name"": ""car"", ""box"": [0.36, 0.59, 0.53, 0.88]}, {""name"": ""tree"", ""box"": [0.43, 0.09, 0.89, 0.79]}]","Verified"
"ahmed-galal-8fH4JwxbAyw-unsplash.jpg","Click first on the small tree, then on the big tree, then on the animal herd","[{""name"": ""small tree"", ""box"": [0.32, 0.49, 0.43, 0.69]}, {""name"": ""big tree"", ""box"": [0.03, 0.34, 0.29, 0.69]}, {""name"": ""animal herd"", ""box"": [0.58, 0.57, 0.93, 0.69]}]","Verified"
"david-clode-YV_WwNH09cI-unsplash.jpg","Click on the wildebeest from left to right across the herd","[{""name"": ""target 1"", ""box"": [0.26, 0.57, 0.35, 0.68]}, {""name"": ""target 2"", ""box"": [0.32, 0.64, 0.59, 0.90]}, {""name"": ""target 3"", ""box"": [0.42, 0.45, 0.52, 0.53]}, {""name"": ""target 4"", ""box"": [0.78, 0.41, 0.81, 0.45]}, {""name"": ""target 5"", ""box"": [0.94, 0.45, 0.99, 0.49]}, {""name"": ""target 6"", ""box"": [0.97, 0.48, 1.00, 0.54]}]","Verified"
"alexia-ellesse-oV1LyrTtQXQ-unsplash.jpg","Click on the monkey, then on the small elephant, then on the water","[{""name"": ""monkey"", ""box"": [0.17, 0.56, 0.22, 0.59]}, {""name"": ""small elephant"", ""box"": [0.32, 0.49, 0.76, 0.82]}, {""name"": ""water"", ""box"": [0.00, 0.79, 1.00, 1.00]}]","Verified"
"alex-azabache-5EZH1du1ifg-unsplash.jpg","Click on the coffee mug, then the weeds, then the pink dress.","[{""name"": ""coffee mug"", ""box"": [0.52, 0.04, 0.58, 0.06]}, {""name"": ""weeds"", ""box"": [0.20, 0.35, 0.30, 0.51]}, {""name"": ""pink dress"", ""box"": [0.77, 0.55, 0.83, 0.64]}]","Verified"
"amani-nation-LTh5pGyvKAM-unsplash.jpg","Click on the biggest building, then the biggest road","[{""name"": ""building"", ""box"": [0.41, 0.29, 0.49, 0.69]}, {""name"": ""road"", ""box"": [0.57, 0.76, 0.86, 1.00]}]","Verified"
